5.8,0.1790936291217804,P250 | Inferno (Field-Tested)
5.8,0.17743416130542755,P250 | Inferno (Field-Tested)
5.8,0.17331433296203613,P250 | Inferno (Field-Tested)
5.8,0.15943291783332825,P250 | Inferno (Field-Tested)
5.85,0.1713123619556427,P250 | Inferno (Field-Tested)
5.9,0.2012282907962799,P250 | Inferno (Field-Tested)
5.9,0.1782187819480896,P250 | Inferno (Field-Tested)
5.98,0.16080404818058014,P250 | Inferno (Field-Tested)
5.98,0.16992828249931335,P250 | Inferno (Field-Tested)
5.98,0.1686287671327591,P250 | Inferno (Field-Tested)
5.99,0.1660723090171814,P250 | Inferno (Field-Tested)
6,0.29878610372543335,P250 | Inferno (Field-Tested)
6,0.2395787537097931,P250 | Inferno (Field-Tested)
6,0.2799830436706543,P250 | Inferno (Field-Tested)
6,0.28838270902633667,P250 | Inferno (Field-Tested)
6,0.2846239507198334,P250 | Inferno (Field-Tested)
6,0.2828538417816162,P250 | Inferno (Field-Tested)
6,0.3106618821620941,P250 | Inferno (Field-Tested)
6,0.23807501792907715,P250 | Inferno (Field-Tested)
6,0.23418113589286804,P250 | Inferno (Field-Tested)
6,0.3203088343143463,P250 | Inferno (Field-Tested)
6,0.17007210850715637,P250 | Inferno (Field-Tested)
6,0.1775738149881363,P250 | Inferno (Field-Tested)
6,0.20312948524951935,P250 | Inferno (Field-Tested)
6,0.2895224094390869,P250 | Inferno (Field-Tested)
6,0.15829439461231232,P250 | Inferno (Field-Tested)
6.1,0.278476357460022,P250 | Inferno (Field-Tested)
6.17,0.1675242930650711,P250 | Inferno (Field-Tested)
6.18,0.1756233125925064,P250 | Inferno (Field-Tested)
6.25,0.28721389174461365,P250 | Inferno (Field-Tested)
6.5,0.15617787837982178,P250 | Inferno (Field-Tested)
6.54,0.1904572695493698,P250 | Inferno (Field-Tested)
6.58,0.2530515789985657,P250 | Inferno (Field-Tested)
6.58,0.2575768828392029,P250 | Inferno (Field-Tested)
6.66,0.1827172040939331,P250 | Inferno (Field-Tested)
6.66,0.1974000334739685,P250 | Inferno (Field-Tested)
6.66,0.28989094495773315,P250 | Inferno (Field-Tested)
6.78,0.3333534300327301,P250 | Inferno (Field-Tested)
7,0.3128606677055359,P250 | Inferno (Field-Tested)
7,0.28973308205604553,P250 | Inferno (Field-Tested)
7,0.28477364778518677,P250 | Inferno (Field-Tested)
7.2,0.15913337469100952,P250 | Inferno (Field-Tested)
7.66,0.3583132028579712,P250 | Inferno (Field-Tested)
7.84,0.1723988652229309,P250 | Inferno (Field-Tested)
7.96,0.1705964207649231,P250 | Inferno (Field-Tested)
7.99,0.2793163061141968,P250 | Inferno (Field-Tested)
8,0.34074270725250244,P250 | Inferno (Field-Tested)
8,0.192081481218338,P250 | Inferno (Field-Tested)
8,0.2339828610420227,P250 | Inferno (Field-Tested)
8,0.32887986302375793,P250 | Inferno (Field-Tested)
8,0.2326056808233261,P250 | Inferno (Field-Tested)
8.23,0.35846275091171265,P250 | Inferno (Field-Tested)
8.85,0.1500246524810791,P250 | Inferno (Field-Tested)
8.88,0.29485824704170227,P250 | Inferno (Field-Tested)
8.88,0.3187161684036255,P250 | Inferno (Field-Tested)
9,0.19552060961723328,P250 | Inferno (Field-Tested)
9,0.2725880444049835,P250 | Inferno (Field-Tested)
